Name,Info1,Info2,Discount %,Price,Rating,Release
Reigns,,,-67%,"R$ 3,46",85.06%,Aug 2016
"Football, Tactics & Glory",,,-80%,"R$ 14,79",84.98%,Jun 2018
Catlateral Damage,,,-75%,"R$ 8,24",84.95%,May 2015
Puzzle Agent,Week Long Deal,"2-year low: R$ 2,09",-50%,"R$ 9,99",84.87%,—
Max Payne 3,,,-70%,"R$ 29,85",84.84%,Jun 2012
Choice of Life: Middle Ages,,,-80%,"R$ 3,39",84.72%,Nov 2020
Tomb Raider: Legend,,,-86%,"R$ 4,05",84.70%,Apr 2006
MY HERO ONE'S JUSTICE 2,,,-85%,"R$ 23,23",84.62%,Sep 2023
Juicy Realm,,,-50%,"R$ 10,34",84.62%,May 2018
Heroes of Might & Magic V,,,-75%,"R$ 7,49",84.57%,May 2006
Conquest of Elysium 5,,,-50%,"R$ 44,49",84.52%,Aug 2021
Devolver Bootleg,,,-70%,"R$ 5,09",84.50%,Jun 2019
ToeJam & Earl: Back in the Groove!,,,-90%,"R$ 2,89",84.49%,Mar 2019
Grim Nights,Week Long Deal,"2-year low: R$ 3,24",-50%,"R$ 5,24",84.48%,Oct 2018
PANELKI,,,-80%,"R$ 3,39",84.47%,Mar 2022
Stories Untold,,,-80%,"R$ 6,59",84.39%,Feb 2017
Battlezone: Combat Commander,,,-81%,"R$ 7,21",84.38%,Mar 2018
Pawnbarian,,,-50%,"R$ 10,34",84.38%,Sep 2021
Game Corp DX,Week Long Deal,"all-time low: R$ 1,57 at -75%",-75%,"R$ 2,62",84.37%,Oct 2015
The Solitaire Conspiracy,,,-80%,"R$ 4,97",84.29%,Oct 2020
AI War 2,,,-75%,"R$ 14,99",84.28%,Oct 2019
The Enchanted Cave 2,,,-75%,"R$ 5,17",84.28%,Jun 2015
